CUST_CODE,CUST_LIFESTAGE_LABEL,CUST_LIFESTAGE_CD,CUST_PRICE_SENSITIVITY_LABEL,CUST_PRICE_SENSITIVITY_CD,Start_Date,Last_Date,FQ,Total_Spend,MTBP,Life_Time,ARPU,CLTV,BASKET_SIZE_L,BASKET_SIZE_M,BASKET_SIZE_S,BASKET_PRICE_SENSITIVITY_LA,BASKET_PRICE_SENSITIVITY_MM,BASKET_PRICE_SENSITIVITY_UM,BASKET_PRICE_SENSITIVITY_XX,BASKET_TYPE_Full Shop,BASKET_TYPE_Small Shop,BASKET_TYPE_Top Up,BASKET_TYPE_XX,BASKET_DOMINANT_MISSION_Fresh,BASKET_DOMINANT_MISSION_Grocery,BASKET_DOMINANT_MISSION_Mixed,BASKET_DOMINANT_MISSION_Nonfood,BASKET_DOMINANT_MISSION_XX
CUST0000007759,Young Families,2,UP Market,2,2006-11-18 00:00:00,2008-01-06 00:00:00,3,8.15,138,605,2.716666667,1643.583333,0,0.333333333,0.666666667,0,1,0,0,0,1,0,0,0.666666667,0.333333333,0,0,0
CUST0000007860,Other,5,Less Affluent,0,2006-07-24 00:00:00,2008-06-26 00:00:00,44,2448.47,15.97727273,722,55.64704545,40177.16682,0.977272727,0,0.022727273,0.954545455,0.045454545,0,0,0.681818182,0.022727273,0.295454545,0,0.590909091,0.022727273,0.386363636,0,0
CUST0000007939,Other,5,UP Market,2,2006-05-30 00:00:00,2008-06-29 00:00:00,10,123.19,76.1,777,12.319,9571.863,0.4,0.3,0.3,0.1,0.3,0.6,0,0,0.6,0.4,0,0.6,0.2,0.1,0.1,0
CUST0000007960,Young Families,2,Mid Market,1,2008-03-10 00:00:00,2008-03-31 00:00:00,2,46.04,10.5,127,23.02,2923.54,1,0,0,0,1,0,0,0,0,1,0,0,0.5,0.5,0,0
CUST0000008415,Other,5,Mid Market,1,2006-04-12 00:00:00,2008-07-05 00:00:00,378,4365.79,2.156084656,825,11.54970899,9528.509921,0.637566138,0.304232804,0.058201058,0.105820106,0.600529101,0.283068783,0.010582011,0.029100529,0.227513228,0.735449735,0.007936508,0.616402116,0.066137566,0.301587302,0.007936508,0.007936508
CUST0000009685,Other,5,UP Market,2,2007-04-25 00:00:00,2007-04-25 00:00:00,1,0.46,0,447,0.46,205.62,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000010267,OA,1,Less Affluent,0,2006-06-19 00:00:00,2008-04-12 00:00:00,3,101.45,221,757,33.81666667,25599.21667,0.666666667,0.333333333,0,1,0,0,0,0.666666667,0.333333333,0,0,0,0.333333333,0.666666667,0,0
CUST0000011202,Young Families,2,Mid Market,1,2007-12-19 00:00:00,2008-04-20 00:00:00,3,312.75,41,209,104.25,21788.25,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000011715,OA,1,Mid Market,1,2007-02-10 00:00:00,2007-02-10 00:00:00,1,0.98,0,521,0.98,510.58,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000012035,Other,5,Less Affluent,0,2007-01-16 00:00:00,2007-01-22 00:00:00,3,28.15,2,546,9.383333333,5123.3,0,1,0,0.666666667,0.333333333,0,0,0,0.666666667,0.333333333,0,0.333333333,0,0,0.666666667,0
CUST0000012198,Other,5,Less Affluent,0,2006-09-30 00:00:00,2007-09-07 00:00:00,5,7.43,68.4,654,1.486,971.844,0,0.6,0.4,0.4,0.2,0.4,0,0,1,0,0,0.6,0.2,0.2,0,0
CUST0000012784,Older Adults,3,Mid Market,1,2006-05-04 00:00:00,2008-07-05 00:00:00,39,1633.29,20.33333333,803,41.87923077,33629.02231,0.846153846,0.128205128,0.025641026,0.025641026,0.820512821,0.153846154,0,0.487179487,0.051282051,0.461538462,0,0.435897436,0.025641026,0.487179487,0.051282051,0
CUST0000013258,Other,5,Less Affluent,0,2006-04-30 00:00:00,2008-06-09 00:00:00,26,73.03,29.65384615,807,2.808846154,2266.738846,0.038461538,0.423076923,0.538461538,0.076923077,0.769230769,0.153846154,0,0,0.692307692,0.307692308,0,0.423076923,0.076923077,0.307692308,0.192307692,0
CUST0000015258,Older Adults,3,Less Affluent,0,2006-07-25 00:00:00,2006-07-25 00:00:00,1,0.68,0,721,0.68,490.28,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000015935,Pensioners,4,UP Market,2,2006-04-22 00:00:00,2008-06-24 00:00:00,19,110.88,41.78947368,815,5.835789474,4756.168421,0.368421053,0.157894737,0.473684211,0.157894737,0.789473684,0.052631579,0,0,0.473684211,0.526315789,0,0.315789474,0.473684211,0.210526316,0,0
CUST0000016396,OA,1,UP Market,2,2007-07-10 00:00:00,2007-10-27 00:00:00,2,0.02,54.5,371,0.01,3.71,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000016404,Other,5,Less Affluent,0,2006-11-23 00:00:00,2008-06-30 00:00:00,81,1627.11,7.222222222,600,20.08777778,12052.66667,0.49382716,0.234567901,0.271604938,0.580246914,0.320987654,0.086419753,0.012345679,0.320987654,0.444444444,0.234567901,0,0.271604938,0.333333333,0.345679012,0.049382716,0
CUST0000016683,Young Adults,0,Mid Market,1,2008-03-21 00:00:00,2008-03-21 00:00:00,1,9.3,0,116,9.3,1078.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
CUST0000016697,Young Adults,0,UP Market,2,2006-07-22 00:00:00,2007-11-12 00:00:00,7,88.86,68.28571429,724,12.69428571,9190.662857,0.571428571,0.142857143,0.285714286,0.142857143,0.714285714,0.142857143,0,0.285714286,0.285714286,0.428571429,0,0.571428571,0.142857143,0.285714286,0,0
CUST0000017325,Young Adults,0,Mid Market,1,2006-04-24 00:00:00,2008-07-06 00:00:00,174,2926.14,4.620689655,813,16.81689655,13672.1369,0.482758621,0.408045977,0.109195402,0.137931034,0.655172414,0.201149425,0.005747126,0.103448276,0.362068966,0.528735632,0.005747126,0.563218391,0.103448276,0.298850575,0.028735632,0.005747126
CUST0000017569,Older Adults,3,Mid Market,1,2008-02-13 00:00:00,2008-02-13 00:00:00,1,3.69,0,153,3.69,564.57,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
CUST0000017570,Young Families,2,Mid Market,1,2006-05-21 00:00:00,2007-12-13 00:00:00,6,421.01,95.16666667,786,70.16833333,55152.31,0.833333333,0.166666667,0,0.333333333,0.666666667,0,0,0.666666667,0,0.333333333,0,0.166666667,0.166666667,0.666666667,0,0
CUST0000018464,Other,5,UP Market,2,2007-05-01 00:00:00,2008-03-28 00:00:00,5,10.35,66.4,441,2.07,912.87,0,0.6,0.4,0,1,0,0,0,1,0,0,0.2,0.8,0,0,0
CUST0000018509,Other,5,Mid Market,1,2008-02-24 00:00:00,2008-02-24 00:00:00,1,49.85,0,142,49.85,7078.7,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000018748,Other,5,Mid Market,1,2007-08-02 00:00:00,2007-08-02 00:00:00,1,0.51,0,348,0.51,177.48,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000019198,Young Families,2,Less Affluent,0,2006-04-15 00:00:00,2008-06-20 00:00:00,10,153.97,79.7,822,15.397,12656.334,0.3,0.4,0.3,0.1,0.5,0.2,0.2,0.1,0.6,0.3,0,0.3,0.2,0.3,0.2,0
CUST0000019732,Young Families,2,Mid Market,1,2007-02-12 00:00:00,2008-06-02 00:00:00,16,247.62,29.75,519,15.47625,8032.17375,0.5,0.3125,0.1875,0.1875,0.625,0.125,0.0625,0.3125,0.5,0.125,0.0625,0.4375,0.3125,0.1875,0,0.0625
CUST0000021161,Other,5,UP Market,2,2006-04-15 00:00:00,2008-06-25 00:00:00,52,1928.59,15.42307692,822,37.08826923,30486.55731,1,0,0,0,0.711538462,0.288461538,0,0.923076923,0,0.076923077,0,0.346153846,0.019230769,0.634615385,0,0
CUST0000021218,Other,5,Mid Market,1,2006-04-15 00:00:00,2008-07-05 00:00:00,214,1723.07,3.794392523,822,8.051728972,6618.521215,0.11682243,0.663551402,0.219626168,0.177570093,0.602803738,0.219626168,0,0.018691589,0.644859813,0.336448598,0,0.457943925,0.177570093,0.322429907,0.042056075,0
CUST0000022116,Other,5,Mid Market,1,2006-07-26 00:00:00,2008-04-06 00:00:00,20,47.66,31,720,2.383,1715.76,0,0.55,0.45,0.15,0.75,0.1,0,0,1,0,0,0.75,0.15,0.1,0,0
CUST0000022350,Other,5,Mid Market,1,2006-08-24 00:00:00,2006-08-24 00:00:00,1,0.97,0,691,0.97,670.27,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
CUST0000022777,Other,5,UP Market,2,2007-12-24 00:00:00,2007-12-25 00:00:00,2,5.22,0.5,204,2.61,532.44,0,0.5,0.5,0,1,0,0,0,1,0,0,0.5,0.5,0,0,0
CUST0000023030,Other,5,UP Market,2,2007-07-14 00:00:00,2007-07-14 00:00:00,1,9.88,0,367,9.88,3625.96,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
CUST0000023689,Older Adults,3,Less Affluent,0,2008-03-04 00:00:00,2008-03-29 00:00:00,2,19.88,12.5,133,9.94,1322.02,0.5,0,0.5,0,1,0,0,0,0.5,0.5,0,1,0,0,0,0
CUST0000025370,Young Adults,0,UP Market,2,2007-11-20 00:00:00,2008-01-08 00:00:00,2,24.92,24.5,238,12.46,2965.48,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,1,0,0,0,0
CUST0000025691,Older Adults,3,UP Market,2,2008-02-06 00:00:00,2008-03-23 00:00:00,3,46.04,15.33333333,160,15.34666667,2455.466667,0.333333333,0,0.666666667,0,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,0,0
CUST0000025746,OA,1,Mid Market,1,2007-03-19 00:00:00,2008-03-15 00:00:00,8,51.09,45.25,484,6.38625,3090.945,0,0.625,0.375,0,0.5,0.375,0.125,0,0.875,0,0.125,0.5,0.25,0,0.125,0.125
CUST0000025794,Young Families,2,UP Market,2,2006-09-12 00:00:00,2008-04-30 00:00:00,3,9.42,198.6666667,672,3.14,2110.08,0,1,0,0,0.666666667,0.333333333,0,0,1,0,0,0.333333333,0.666666667,0,0,0
CUST0000025985,OA,1,Mid Market,1,2007-08-18 00:00:00,2007-08-18 00:00:00,1,0.98,0,332,0.98,325.36,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000026017,Other,5,Unclas,3,2008-03-27 00:00:00,2008-03-27 00:00:00,1,2.03,0,110,2.03,223.3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
CUST0000026371,Other,5,Mid Market,1,2007-05-30 00:00:00,2007-08-18 00:00:00,4,137.76,20,412,34.44,14189.28,1,0,0,0,1,0,0,0.75,0,0.25,0,0.5,0,0.5,0,0
CUST0000026634,Older Adults,3,Mid Market,1,2006-07-03 00:00:00,2007-06-08 00:00:00,2,16.98,170,743,8.49,6308.07,0,1,0,0,1,0,0,0,0,1,0,0.5,0,0.5,0,0
CUST0000027496,Other,5,Less Affluent,0,2007-07-24 00:00:00,2008-04-15 00:00:00,2,3.38,133,357,1.69,603.33,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
CUST0000028248,Other,5,Mid Market,1,2007-05-27 00:00:00,2007-07-21 00:00:00,3,13.3,18.33333333,415,4.433333333,1839.833333,0,0.333333333,0.666666667,0,1,0,0,0,1,0,0,0.333333333,0,0.333333333,0.333333333,0
CUST0000028322,Other,5,Mid Market,1,2007-09-25 00:00:00,2008-06-24 00:00:00,35,99.9,7.8,294,2.854285714,839.16,0,0.542857143,0.457142857,0.114285714,0.628571429,0.2,0.057142857,0,0.885714286,0.057142857,0.057142857,0.6,0.285714286,0.057142857,0,0.057142857
CUST0000028656,Young Families,2,Mid Market,1,2007-08-17 00:00:00,2008-04-15 00:00:00,3,29.49,80.66666667,333,9.83,3273.39,0.666666667,0,0.333333333,0,1,0,0,0,0.333333333,0.666666667,0,0,0,0.666666667,0.333333333,0
CUST0000029089,Older Adults,3,UP Market,2,2006-07-21 00:00:00,2008-05-14 00:00:00,28,479.04,23.67857143,725,17.10857143,12403.71429,0.607142857,0.285714286,0.107142857,0.107142857,0.464285714,0.285714286,0.142857143,0.107142857,0.25,0.5,0.142857143,0.535714286,0.107142857,0.214285714,0,0.142857143
CUST0000029230,Other,5,UP Market,2,2007-10-07 00:00:00,2007-10-07 00:00:00,1,2.39,0,282,2.39,673.98,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000029792,Young Adults,0,Less Affluent,0,2006-07-07 00:00:00,2008-07-02 00:00:00,14,24.48,51.85714286,739,1.748571429,1292.194286,0.071428571,0.285714286,0.642857143,0.285714286,0.357142857,0.285714286,0.071428571,0,0.857142857,0.071428571,0.071428571,0.571428571,0.214285714,0.142857143,0,0.071428571
CUST0000030075,Young Families,2,UP Market,2,2007-01-27 00:00:00,2008-06-20 00:00:00,3,3.62,170,535,1.206666667,645.5666667,0,0,1,0.333333333,0.666666667,0,0,0,1,0,0,0,0.333333333,0,0.666666667,0
CUST0000030095,Pensioners,4,Less Affluent,0,2006-11-14 00:00:00,2008-07-02 00:00:00,10,49.97,59.6,609,4.997,3043.173,0.2,0.4,0.4,0.1,0.6,0.1,0.2,0,0.5,0.5,0,0.3,0.1,0.3,0.3,0
CUST0000030542,Other,5,Mid Market,1,2007-06-09 00:00:00,2007-06-09 00:00:00,1,9.15,0,402,9.15,3678.3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
CUST0000030592,Young Families,2,Mid Market,1,2007-12-19 00:00:00,2008-05-16 00:00:00,3,32.74,49.66666667,209,10.91333333,2280.886667,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0,0,0.666666667,0.333333333,0,0.666666667,0,0.333333333,0,0
CUST0000030719,Older Adults,3,Less Affluent,0,2006-12-22 00:00:00,2008-01-08 00:00:00,10,74.8,38.2,571,7.48,4271.08,0.2,0.3,0.5,0.3,0.6,0.1,0,0,0.6,0.4,0,0.4,0.2,0.3,0.1,0
CUST0000030827,Young Adults,0,UP Market,2,2006-12-15 00:00:00,2006-12-15 00:00:00,1,51.52,0,578,51.52,29778.56,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
CUST0000031233,Pensioners,4,Less Affluent,0,2006-05-14 00:00:00,2008-07-05 00:00:00,26,100.6,30.11538462,793,3.869230769,3068.3,0.038461538,0.807692308,0.153846154,0.038461538,0.846153846,0.115384615,0,0,0.961538462,0.038461538,0,0.884615385,0.076923077,0.038461538,0,0
CUST0000031949,Other,5,UP Market,2,2007-08-28 00:00:00,2008-06-09 00:00:00,2,2.16,143,322,1.08,347.76,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000032037,Pensioners,4,Mid Market,1,2006-04-11 00:00:00,2008-06-14 00:00:00,121,1850.71,6.570247934,826,15.29512397,12633.7724,0.537190083,0.330578512,0.132231405,0.033057851,0.743801653,0.223140496,0,0.140495868,0.305785124,0.553719008,0,0.545454545,0.140495868,0.247933884,0.066115702,0
CUST0000032179,OA,1,Less Affluent,0,2006-05-10 00:00:00,2008-06-23 00:00:00,12,73.48,64.58333333,797,6.123333333,4880.296667,0.083333333,0.583333333,0.333333333,0.083333333,0.666666667,0.166666667,0.083333333,0,0.75,0.166666667,0.083333333,0.25,0.333333333,0.333333333,0,0.083333333
CUST0000033021,OA,1,Mid Market,1,2006-09-02 00:00:00,2008-06-24 00:00:00,26,266.76,25.42307692,682,10.26,6997.32,0.269230769,0.5,0.230769231,0.307692308,0.576923077,0.115384615,0,0.076923077,0.653846154,0.269230769,0,0.692307692,0,0.307692308,0,0
CUST0000034413,Other,5,Less Affluent,0,2006-11-12 00:00:00,2008-06-16 00:00:00,6,6.33,97,611,1.055,644.605,0,0,1,0,1,0,0,0,1,0,0,0.166666667,0.166666667,0.166666667,0.5,0
CUST0000034506,Older Adults,3,Less Affluent,0,2007-02-21 00:00:00,2007-02-21 00:00:00,1,1.67,0,510,1.67,851.7,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000034681,Other,5,Less Affluent,0,2007-08-04 00:00:00,2008-05-27 00:00:00,6,27.53,49.5,346,4.588333333,1587.563333,0,0.666666667,0.333333333,0.166666667,0.833333333,0,0,0,1,0,0,0.166666667,0.833333333,0,0,0
CUST0000035164,Other,5,Less Affluent,0,2006-07-15 00:00:00,2008-04-22 00:00:00,3,79.37,215.6666667,731,26.45666667,19339.82333,0.666666667,0.333333333,0,0,1,0,0,0.666666667,0.333333333,0,0,0,1,0,0,0
CUST0000035234,Young Adults,0,Less Affluent,0,2006-12-16 00:00:00,2008-06-27 00:00:00,4,27.02,139.75,577,6.755,3897.635,0,0.25,0.75,0.5,0.5,0,0,0,0.75,0.25,0,0.75,0,0,0.25,0
CUST0000035278,Young Families,2,UP Market,2,2006-11-29 00:00:00,2008-04-20 00:00:00,3,49.91,169.3333333,594,16.63666667,9882.18,0.666666667,0,0.333333333,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,0,0.666666667,0,0.333333333,0,0
CUST0000035890,Young Families,2,Less Affluent,0,2007-04-07 00:00:00,2008-06-28 00:00:00,84,647.23,5.333333333,465,7.705119048,3582.880357,0.238095238,0.404761905,0.357142857,0.333333333,0.547619048,0.119047619,0,0.071428571,0.69047619,0.238095238,0,0.428571429,0.226190476,0.297619048,0.047619048,0
CUST0000036040,Other,5,Less Affluent,0,2006-12-19 00:00:00,2007-12-29 00:00:00,2,48.1,187.5,574,24.05,13804.7,0.5,0,0.5,1,0,0,0,0.5,0.5,0,0,0,0,1,0,0
CUST0000036136,Pensioners,4,Mid Market,1,2006-04-12 00:00:00,2008-06-30 00:00:00,202,1869.02,4.00990099,825,9.252574257,7633.373762,0.386138614,0.504950495,0.108910891,0.084158416,0.336633663,0.579207921,0,0.004950495,0.440594059,0.554455446,0,0.678217822,0.034653465,0.272277228,0.014851485,0
CUST0000036238,Other,5,Less Affluent,0,2006-05-24 00:00:00,2006-11-10 00:00:00,2,75.18,85,783,37.59,29432.97,1,0,0,1,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0
CUST0000036480,Other,5,Mid Market,1,2007-07-06 00:00:00,2007-07-06 00:00:00,1,0.21,0,375,0.21,78.75,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000036515,Other,5,Unclas,3,2006-12-28 00:00:00,2008-06-03 00:00:00,3,11.87,174.3333333,565,3.956666667,2235.516667,0,0.333333333,0.666666667,1,0,0,0,0,1,0,0,0.666666667,0,0.333333333,0,0
CUST0000037123,OA,1,Less Affluent,0,2006-04-11 00:00:00,2008-07-03 00:00:00,210,2564.38,3.876190476,826,12.21133333,10086.56133,0.395238095,0.29047619,0.314285714,0.652380952,0.252380952,0.09047619,0.004761905,0.333333333,0.585714286,0.076190476,0.004761905,0.461904762,0.19047619,0.338095238,0.004761905,0.004761905
CUST0000038406,Young Families,2,Mid Market,1,2007-08-17 00:00:00,2007-08-17 00:00:00,1,41.36,0,333,41.36,13772.88,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
CUST0000038488,Other,5,Less Affluent,0,2007-01-20 00:00:00,2008-05-28 00:00:00,7,5.85,70.57142857,542,0.835714286,452.9571429,0,0,1,0.285714286,0.714285714,0,0,0,1,0,0,0.285714286,0,0,0.714285714,0
CUST0000038546,OA,1,UP Market,2,2006-05-17 00:00:00,2008-06-28 00:00:00,23,1115.82,33.60869565,790,48.51391304,38325.9913,0.739130435,0.217391304,0.043478261,0.173913043,0.739130435,0.086956522,0,0.434782609,0.173913043,0.391304348,0,0.565217391,0.173913043,0.260869565,0,0
CUST0000038615,Other,5,UP Market,2,2006-07-26 00:00:00,2006-07-26 00:00:00,1,1.81,0,720,1.81,1303.2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
CUST0000038693,Other,5,UP Market,2,2008-01-22 00:00:00,2008-06-18 00:00:00,17,110.16,8.705882353,175,6.48,1134,0.294117647,0.176470588,0.529411765,0.058823529,0.352941176,0.588235294,0,0,0.529411765,0.470588235,0,0.588235294,0,0.352941176,0.058823529,0
CUST0000038720,Older Adults,3,Less Affluent,0,2006-06-22 00:00:00,2008-06-24 00:00:00,6,71.6,122.1666667,754,11.93333333,8997.733333,0.333333333,0.166666667,0.5,0,1,0,0,0,0.666666667,0.333333333,0,0.666666667,0.166666667,0.166666667,0,0
CUST0000039309,Young Families,2,UP Market,2,2007-11-28 00:00:00,2008-07-04 00:00:00,4,94.38,54.75,230,23.595,5426.85,1,0,0,0,1,0,0,1,0,0,0,0.25,0,0.75,0,0
CUST0000039796,Young Adults,0,UP Market,2,2007-08-19 00:00:00,2008-04-22 00:00:00,2,67.18,123.5,331,33.59,11118.29,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
CUST0000040538,Young Families,2,Unclas,3,2008-02-20 00:00:00,2008-02-20 00:00:00,1,0.86,0,146,0.86,125.56,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000040739,Other,5,Less Affluent,0,2006-07-14 00:00:00,2007-09-04 00:00:00,3,14.84,139,732,4.946666667,3620.96,0.333333333,0,0.666666667,0.333333333,0.666666667,0,0,0,0.666666667,0.333333333,0,1,0,0,0,0
